"REF_DATE","GEO","DGUID","Fuel Type","Vehicle type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Newfoundland and Labrador","2016A000210","All fuel types","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014881","2.1.3.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","All fuel types","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014888","2.1.4.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","All fuel types","Vans","Number of vehicles","Units","300","units ","0","v1079014895","2.1.5.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Gasoline","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014868","2.2.1.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Gasoline","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014875","2.2.2.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Gasoline","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014882","2.2.3.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Gasoline","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014889","2.2.4.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Gasoline","Vans","Number of vehicles","Units","300","units ","0","v1079014896","2.2.5.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Diesel","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014869","2.3.1.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Diesel","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014876","2.3.2.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Diesel","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014883","2.3.3.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Diesel","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014890","2.3.4.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Diesel","Vans","Number of vehicles","Units","300","units ","0","v1079014897","2.3.5.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014870","2.4.1.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Battery electric","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014877","2.4.2.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Battery electric","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014884","2.4.3.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Battery electric","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014891","2.4.4.1","","..","","","0"
