country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Bahrain,5020,,,,,5700,,,,,7230,,,,,4790,,,,,8210,,,,,9350,,,,,12600,,,,,15400,,,,,18400,,,,,21800,,,,,25500,,,,,30600,,,,,44000,,,,,56600,,,,,91000,,,,,133000,,,,,185000,,,,,247000,,,,,315000,,,,,362000,,,,,405000,,,,,464000,,,,,555000,,,,,648000,,,,,725000,,,,,797000,,,,,848000,,,,,867000,,,,,864000,,,,,853000,,,,,833000
Bangladesh,2070000,,,,,1980000,,,,,2150000,,,,,2530000,,,,,3000000,,,,,3550000,,,,,4010000,,,,,4450000,,,,,5450000,,,,,6460000,,,,,7940000,,,,,9440000,,,,,10500000,,,,,11400000,,,,,13400000,,,,,17100000,,,,,21700000,,,,,26400000,,,,,32100000,,,,,38300000,,,,,44500000,,,,,50300000,,,,,55900000,,,,,61000000,,,,,64600000,,,,,67300000,,,,,69100000,,,,,70000000,,,,,70000000,,,,,69300000,,,,,68100000
Barbados,16100,,,,,18500,,,,,20800,,,,,23700,,,,,26100,,,,,30600,,,,,31200,,,,,29300,,,,,35000,,,,,37000,,,,,40700,,,,,42400,,,,,48500,,,,,56300,,,,,65800,,,,,74600,,,,,80400,,,,,84900,,,,,86400,,,,,87400,,,,,86800,,,,,86400,,,,,85800,,,,,86000,,,,,86400,,,,,87000,,,,,87600,,,,,88000,,,,,88300,,,,,88500,,,,,88700
Belarus,874000,,,,,846000,,,,,848000,,,,,935000,,,,,1050000,,,,,1170000,,,,,1140000,,,,,1240000,,,,,1700000,,,,,1800000,,,,,1910000,,,,,1790000,,,,,1810000,,,,,1940000,,,,,2140000,,,,,2300000,,,,,2360000,,,,,2410000,,,,,2470000,,,,,2580000,,,,,2690000,,,,,2680000,,,,,2560000,,,,,2440000,,,,,2390000,,,,,2410000,,,,,2430000,,,,,2440000,,,,,2430000,,,,,2420000,,,,,2430000
Belgium,1250000,,,,,1320000,,,,,1430000,,,,,1550000,,,,,1640000,,,,,1670000,,,,,1560000,,,,,1640000,,,,,2060000,,,,,2180000,,,,,2260000,,,,,2330000,,,,,2540000,,,,,2710000,,,,,2970000,,,,,3250000,,,,,3500000,,,,,3700000,,,,,3850000,,,,,3970000,,,,,4050000,,,,,4110000,,,,,4120000,,,,,4130000,,,,,4190000,,,,,4260000,,,,,4340000,,,,,4410000,,,,,4480000,,,,,4550000,,,,,4620000
Belize,3870,,,,,4600,,,,,5510,,,,,6260,,,,,7260,,,,,8220,,,,,7910,,,,,8400,,,,,11400,,,,,12900,,,,,13700,,,,,13300,,,,,18300,,,,,21300,,,,,26400,,,,,33800,,,,,42500,,,,,52500,,,,,62700,,,,,75100,,,,,89700,,,,,106000,,,,,123000,,,,,139000,,,,,151000,,,,,162000,,,,,174000,,,,,184000,,,,,193000,,,,,201000,,,,,207000
Benin,232000,,,,,193000,,,,,185000,,,,,187000,,,,,202000,,,,,214000,,,,,224000,,,,,234000,,,,,276000,,,,,307000,,,,,342000,,,,,396000,,,,,452000,,,,,524000,,,,,616000,,,,,735000,,,,,881000,,,,,1050000,,,,,1250000,,,,,1490000,,,,,1780000,,,,,2120000,,,,,2520000,,,,,2960000,,,,,3460000,,,,,4000000,,,,,4570000,,,,,5170000,,,,,5790000,,,,,6430000,,,,,7080000
Bhutan,7290,,,,,7830,,,,,8630,,,,,9700,,,,,11200,,,,,13300,,,,,15900,,,,,19100,,,,,24900,,,,,26200,,,,,31200,,,,,37400,,,,,45200,,,,,53900,,,,,67000,,,,,81500,,,,,103000,,,,,126000,,,,,156000,,,,,195000,,,,,235000,,,,,268000,,,,,292000,,,,,307000,,,,,319000,,,,,325000,,,,,329000,,,,,330000,,,,,328000,,,,,323000,,,,,318000
Bolivia,243000,,,,,239000,,,,,237000,,,,,242000,,,,,256000,,,,,279000,,,,,309000,,,,,357000,,,,,458000,,,,,528000,,,,,601000,,,,,709000,,,,,828000,,,,,988000,,,,,1150000,,,,,1310000,,,,,1500000,,,,,1730000,,,,,2020000,,,,,2350000,,,,,2700000,,,,,3080000,,,,,3480000,,,,,3860000,,,,,4210000,,,,,4510000,,,,,4810000,,,,,5080000,,,,,5330000,,,,,5540000,,,,,5720000
Bosnia and Herzegovina,148000,,,,,148000,,,,,181000,,,,,227000,,,,,268000,,,,,294000,,,,,292000,,,,,329000,,,,,492000,,,,,555000,,,,,633000,,,,,658000,,,,,716000,,,,,791000,,,,,872000,,,,,957000,,,,,998000,,,,,1040000,,,,,1060000,,,,,1080000,,,,,1100000,,,,,1120000,,,,,1130000,,,,,1090000,,,,,1050000,,,,,1010000,,,,,967000,,,,,935000,,,,,907000,,,,,880000,,,,,855000
Botswana,27100,,,,,28600,,,,,28000,,,,,29300,,,,,29700,,,,,30800,,,,,36000,,,,,44300,,,,,56300,,,,,68300,,,,,81200,,,,,93500,,,,,108000,,,,,134000,,,,,165000,,,,,199000,,,,,240000,,,,,295000,,,,,377000,,,,,482000,,,,,579000,,,,,665000,,,,,735000,,,,,792000,,,,,849000,,,,,917000,,,,,978000,,,,,1030000,,,,,1070000,,,,,1100000,,,,,1130000
Brazil,2470000,,,,,2920000,,,,,3520000,,,,,4110000,,,,,4860000,,,,,5710000,,,,,6500000,,,,,7530000,,,,,9590000,,,,,11100000,,,,,13500000,,,,,16200000,,,,,19700000,,,,,24400000,,,,,29800000,,,,,36200000,,,,,42500000,,,,,48600000,,,,,55500000,,,,,62800000,,,,,68900000,,,,,73800000,,,,,78100000,,,,,80800000,,,,,81700000,,,,,81900000,,,,,81300000,,,,,80100000,,,,,78600000,,,,,76800000,,,,,75100000
Brunei,3290,,,,,4100,,,,,4700,,,,,5500,,,,,6700,,,,,8300,,,,,7450,,,,,8900,,,,,10400,,,,,12500,,,,,12900,,,,,17600,,,,,20900,,,,,29600,,,,,42600,,,,,58400,,,,,77400,,,,,97700,,,,,118000,,,,,138000,,,,,154000,,,,,165000,,,,,173000,,,,,178000,,,,,179000,,,,,181000,,,,,182000,,,,,183000,,,,,183000,,,,,182000,,,,,181000
Bulgaria,687000,,,,,728000,,,,,816000,,,,,958000,,,,,1130000,,,,,1270000,,,,,1250000,,,,,1400000,,,,,1700000,,,,,1790000,,,,,1770000,,,,,1770000,,,,,1870000,,,,,1940000,,,,,1960000,,,,,1960000,,,,,1940000,,,,,1970000,,,,,1990000,,,,,1980000,,,,,1980000,,,,,1900000,,,,,1760000,,,,,1630000,,,,,1560000,,,,,1500000,,,,,1460000,,,,,1430000,,,,,1400000,,,,,1370000,,,,,1350000
Burkina Faso,157000,,,,,180000,,,,,205000,,,,,235000,,,,,271000,,,,,311000,,,,,351000,,,,,395000,,,,,449000,,,,,473000,,,,,502000,,,,,548000,,,,,609000,,,,,695000,,,,,821000,,,,,991000,,,,,1220000,,,,,1490000,,,,,1860000,,,,,2300000,,,,,2800000,,,,,3390000,,,,,4100000,,,,,4960000,,,,,6000000,,,,,7160000,,,,,8410000,,,,,9740000,,,,,11200000,,,,,12600000,,,,,14200000
Burundi,114000,,,,,118000,,,,,130000,,,,,144000,,,,,161000,,,,,181000,,,,,197000,,,,,217000,,,,,259000,,,,,274000,,,,,289000,,,,,313000,,,,,351000,,,,,430000,,,,,548000,,,,,664000,,,,,781000,,,,,879000,,,,,1040000,,,,,1310000,,,,,1670000,,,,,2070000,,,,,2450000,,,,,2860000,,,,,3420000,,,,,4120000,,,,,4920000,,,,,5760000,,,,,6610000,,,,,7520000,,,,,8520000
Cambodia,191000,,,,,207000,,,,,229000,,,,,259000,,,,,284000,,,,,312000,,,,,298000,,,,,348000,,,,,429000,,,,,524000,,,,,598000,,,,,706000,,,,,841000,,,,,1050000,,,,,1260000,,,,,1600000,,,,,1920000,,,,,2240000,,,,,2330000,,,,,3260000,,,,,3730000,,,,,4410000,,,,,4920000,,,,,5260000,,,,,5660000,,,,,6070000,,,,,6450000,,,,,6740000,,,,,6980000,,,,,7190000,,,,,7380000
Cameroon,236000,,,,,260000,,,,,289000,,,,,324000,,,,,364000,,,,,412000,,,,,467000,,,,,529000,,,,,645000,,,,,719000,,,,,791000,,,,,872000,,,,,971000,,,,,1090000,,,,,1240000,,,,,1430000,,,,,1690000,,,,,2050000,,,,,2530000,,,,,3190000,,,,,3970000,,,,,4840000,,,,,5800000,,,,,6940000,,,,,8290000,,,,,9800000,,,,,11400000,,,,,13000000,,,,,14700000,,,,,16400000,,,,,18100000
Canada,1410000,,,,,1570000,,,,,1720000,,,,,1880000,,,,,2140000,,,,,2480000,,,,,2830000,,,,,3260000,,,,,4300000,,,,,4720000,,,,,5120000,,,,,5770000,,,,,6820000,,,,,8050000,,,,,9470000,,,,,10900000,,,,,11800000,,,,,12600000,,,,,13200000,,,,,13800000,,,,,14400000,,,,,15000000,,,,,15400000,,,,,15700000,,,,,16200000,,,,,16600000,,,,,17100000,,,,,17500000,,,,,17900000,,,,,18200000,,,,,18600000
Cape Verde,16700,,,,,13900,,,,,13600,,,,,14100,,,,,17500,,,,,18700,,,,,18200,,,,,17900,,,,,23200,,,,,26900,,,,,32000,,,,,34200,,,,,33400,,,,,35800,,,,,41600,,,,,53200,,,,,64600,,,,,75600,,,,,89300,,,,,109000,,,,,134000,,,,,159000,,,,,182000,,,,,200000,,,,,215000,,,,,226000,,,,,236000,,,,,243000,,,,,248000,,,,,251000,,,,,252000
Central African Republic,99200,,,,,95900,,,,,99000,,,,,104000,,,,,113000,,,,,124000,,,,,136000,,,,,153000,,,,,184000,,,,,204000,,,,,221000,,,,,234000,,,,,243000,,,,,249000,,,,,268000,,,,,294000,,,,,327000,,,,,373000,,,,,435000,,,,,518000,,,,,620000,,,,,759000,,,,,957000,,,,,1200000,,,,,1460000,,,,,1720000,,,,,1970000,,,,,2230000,,,,,2520000,,,,,2810000,,,,,3080000
Chad,164000,,,,,166000,,,,,178000,,,,,191000,,,,,205000,,,,,223000,,,,,235000,,,,,254000,,,,,301000,,,,,332000,,,,,371000,,,,,421000,,,,,471000,,,,,556000,,,,,647000,,,,,745000,,,,,860000,,,,,1020000,,,,,1240000,,,,,1520000,,,,,1870000,,,,,2330000,,,,,2880000,,,,,3540000,,,,,4290000,,,,,5120000,,,,,6030000,,,,,7000000,,,,,8000000,,,,,9030000,,,,,10100000
Chile,394000,,,,,463000,,,,,530000,,,,,601000,,,,,675000,,,,,743000,,,,,823000,,,,,922000,,,,,1210000,,,,,1400000,,,,,1610000,,,,,1900000,,,,,2240000,,,,,2690000,,,,,3220000,,,,,3800000,,,,,4400000,,,,,4930000,,,,,5380000,,,,,5840000,,,,,6340000,,,,,6750000,,,,,7040000,,,,,7220000,,,,,7360000,,,,,7430000,,,,,7450000,,,,,7430000,,,,,7390000,,,,,7330000,,,,,7270000
China,39600000,,,,,40300000,,,,,39600000,,,,,41500000,,,,,49100000,,,,,58900000,,,,,70700000,,,,,80800000,,,,,99900000,,,,,115000000,,,,,130000000,,,,,146000000,,,,,171000000,,,,,215000000,,,,,250000000,,,,,300000000,,,,,362000000,,,,,409000000,,,,,427000000,,,,,443000000,,,,,479000000,,,,,484000000,,,,,468000000,,,,,451000000,,,,,439000000,,,,,433000000,,,,,425000000,,,,,413000000,,,,,402000000,,,,,392000000,,,,,385000000
Colombia,605000,,,,,669000,,,,,782000,,,,,919000,,,,,1080000,,,,,1250000,,,,,1420000,,,,,1640000,,,,,2100000,,,,,2410000,,,,,2800000,,,,,3310000,,,,,4120000,,,,,5230000,,,,,6530000,,,,,8070000,,,,,9690000,,,,,11000000,,,,,12400000,,,,,13800000,,,,,15000000,,,,,16100000,,,,,16900000,,,,,17500000,,,,,17900000,,,,,18100000,,,,,18100000,,,,,17900000,,,,,17600000,,,,,17200000,,,,,16900000
Comoros,8910,,,,,9050,,,,,9220,,,,,9790,,,,,11100,,,,,12800,,,,,15300,,,,,17100,,,,,20300,,,,,22900,,,,,25600,,,,,28300,,,,,31000,,,,,36700,,,,,44500,,,,,53900,,,,,64400,,,,,76500,,,,,91300,,,,,111000,,,,,133000,,,,,155000,,,,,178000,,,,,203000,,,,,231000,,,,,262000,,,,,294000,,,,,324000,,,,,353000,,,,,382000,,,,,411000
"Congo, Dem. Rep.",594000,,,,,613000,,,,,673000,,,,,761000,,,,,877000,,,,,1010000,,,,,1170000,,,,,1330000,,,,,1640000,,,,,1980000,,,,,2230000,,,,,2590000,,,,,3050000,,,,,3550000,,,,,4190000,,,,,4980000,,,,,5970000,,,,,7180000,,,,,8660000,,,,,10500000,,,,,12700000,,,,,15400000,,,,,18600000,,,,,22800000,,,,,28000000,,,,,34200000,,,,,41200000,,,,,48700000,,,,,56700000,,,,,65200000,,,,,74000000
"Congo, Rep.",43700,,,,,49200,,,,,57500,,,,,66600,,,,,76700,,,,,87800,,,,,99400,,,,,113000,,,,,139000,,,,,157000,,,,,174000,,,,,193000,,,,,220000,,,,,254000,,,,,302000,,,,,368000,,,,,457000,,,,,573000,,,,,713000,,,,,859000,,,,,999000,,,,,1150000,,,,,1340000,,,,,1590000,,,,,1920000,,,,,2290000,,,,,2660000,,,,,3050000,,,,,3470000,,,,,3930000,,,,,4410000
Costa Rica,43600,,,,,50600,,,,,60100,,,,,73600,,,,,90900,,,,,112000,,,,,133000,,,,,160000,,,,,219000,,,,,267000,,,,,327000,,,,,401000,,,,,502000,,,,,613000,,,,,765000,,,,,943000,,,,,1110000,,,,,1250000,,,,,1410000,,,,,1590000,,,,,1760000,,,,,1900000,,,,,2020000,,,,,2080000,,,,,2120000,,,,,2140000,,,,,2140000,,,,,2120000,,,,,2080000,,,,,2050000,,,,,2010000
Cote d'Ivoire,101000,,,,,119000,,,,,141000,,,,,171000,,,,,206000,,,,,257000,,,,,322000,,,,,406000,,,,,540000,,,,,663000,,,,,764000,,,,,843000,,,,,951000,,,,,1100000,,,,,1260000,,,,,1450000,,,,,1660000,,,,,1940000,,,,,2300000,,,,,2730000,,,,,3240000,,,,,3900000,,,,,4700000,,,,,5550000,,,,,6460000,,,,,7520000,,,,,8700000,,,,,9990000,,,,,11400000,,,,,12800000,,,,,14300000
Croatia,391000,,,,,381000,,,,,430000,,,,,510000,,,,,601000,,,,,648000,,,,,617000,,,,,653000,,,,,833000,,,,,927000,,,,,964000,,,,,960000,,,,,1030000,,,,,1090000,,,,,1150000,,,,,1200000,,,,,1220000,,,,,1240000,,,,,1260000,,,,,1280000,,,,,1280000,,,,,1260000,,,,,1240000,,,,,1190000,,,,,1170000,,,,,1140000,,,,,1100000,,,,,1070000,,,,,1030000,,,,,1000000,,,,,979000
Cuba,375000,,,,,411000,,,,,480000,,,,,600000,,,,,724000,,,,,856000,,,,,952000,,,,,1010000,,,,,1280000,,,,,1380000,,,,,1540000,,,,,1710000,,,,,1930000,,,,,2220000,,,,,2490000,,,,,3030000,,,,,3550000,,,,,3960000,,,,,4020000,,,,,4040000,,,,,4140000,,,,,4100000,,,,,4000000,,,,,3830000,,,,,3660000,,,,,3570000,,,,,3500000,,,,,3440000,,,,,3360000,,,,,3280000,,,,,3220000
Cyprus,41900,,,,,48300,,,,,50600,,,,,54100,,,,,75200,,,,,76600,,,,,78000,,,,,81800,,,,,104000,,,,,119000,,,,,133000,,,,,153000,,,,,179000,,,,,206000,,,,,239000,,,,,274000,,,,,309000,,,,,342000,,,,,380000,,,,,417000,,,,,452000,,,,,482000,,,,,505000,,,,,522000,,,,,531000,,,,,536000,,,,,535000,,,,,530000,,,,,524000,,,,,518000,,,,,515000
Czech Republic,1030000,,,,,1120000,,,,,1280000,,,,,1480000,,,,,1640000,,,,,1740000,,,,,1530000,,,,,1590000,,,,,1850000,,,,,1870000,,,,,1870000,,,,,2030000,,,,,2360000,,,,,2640000,,,,,2790000,,,,,2910000,,,,,3030000,,,,,3260000,,,,,3530000,,,,,3630000,,,,,3690000,,,,,3680000,,,,,3510000,,,,,3350000,,,,,3280000,,,,,3220000,,,,,3190000,,,,,3180000,,,,,3160000,,,,,3150000,,,,,3160000
