year_num,tm,attend_g,est_payroll,w,l
2004,TBD,15936,29856667,70,91
2004,TEX,31033,55050417,89,73
2004,TOR,23457,50017000,67,94
2005,ARI,25425,62629166,77,85
2005,ATL,31126,86457302,90,72
2005,BAL,32404,73914333,74,88
2005,BOS,35159,123505125,95,67
2005,CHC,38272,87032933,79,83
2005,CHW,28924,75178000,99,63
2005,CIN,23696,61892583,73,89
2005,CLE,24861,41502500,93,69
2005,COL,23634,47839000,67,95
2005,DET,24993,69092000,71,91
2005,FLA,22872,60408834,83,79
2005,HOU,34627,76779000,89,73
2005,KCR,16928,36881000,56,106
2005,LAA,42033,94867822,95,67
2005,LAD,44489,83039000,71,91
2005,MIL,27297,39934833,81,81
2005,MIN,25114,56186000,83,79
2005,NYM,34937,101305821,83,79
2005,NYY,50502,208306817,95,67
2005,OAK,26038,55425762,88,74
2005,PHI,32905,95522000,88,74
2005,PIT,22435,38133000,67,95
2005,SDP,35429,63290833,82,80
2005,SEA,33648,87754334,69,93
2005,SFG,39272,90199500,75,87
2005,STL,43691,92106833,100,62
2005,TBD,14095,29679067,67,95
2005,TEX,31176,55849000,79,83
2005,TOR,24876,45719500,80,82
2005,WSN,33728,48581500,81,81
2006,ARI,25823,59984226,76,86
2006,ATL,31488,90156876,79,83
2006,BAL,26582,72585582,70,92
2006,BOS,36180,120099824,86,76
2006,CHC,38558,94424499,66,96
2006,CHW,36511,102750667,90,72
2006,CIN,26353,60909519,80,82
2006,CLE,24667,56031500,78,84
2006,COL,25980,41233000,76,86
2006,DET,32049,82612866,95,67
2006,FLA,14372,14671500,78,84
2006,HOU,37318,100894435,82,80
2006,KCR,16946,47694000,62,100
2006,LAA,42059,103472000,89,73
2006,LAD,46402,98447187,88,74
2006,MIL,28835,57970333,75,87
2006,MIN,28210,63396006,96,66
2006,NYM,41723,101584963,97,65
2006,NYY,52445,194663079,97,65
2006,OAK,24403,64843079,93,69
2006,PHI,33356,88273333,85,77
2006,PIT,22982,46717750,67,95
2006,SDP,32837,69896141,88,74
2006,SEA,30632,87959833,78,84
2006,SFG,38646,90056419,76,85
2006,STL,42589,88891371,83,78
2006,TBD,16901,34917967,61,101
2006,TEX,29491,68228662,80,82
