REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,GeoUID,Hierarchy for GEO,Classification Code for Labour force characteristics,Hierarchy for Labour force characteristics,Classification Code for Statistics,Hierarchy for Statistics,Classification Code for Data type,Hierarchy for Data type,val_norm,Date,Labour force characteristics,Statistics,Data type
2007-01,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.04,2007-01-01,Unemployment rate,Estimate,Seasonally adjusted
2007-02,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,42.6,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,42600,2007-02-01,Unemployment,Estimate,Seasonally adjusted
2007-02,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,3.5,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.035,2007-02-01,Unemployment rate,Estimate,Seasonally adjusted
2007-03,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,42.4,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,42400,2007-03-01,Unemployment,Estimate,Seasonally adjusted
2007-03,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,3.5,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.035,2007-03-01,Unemployment rate,Estimate,Seasonally adjusted
2007-04,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,53.7,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,53700,2007-04-01,Unemployment,Estimate,Seasonally adjusted
2007-04,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.4,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.044000000000000004,2007-04-01,Unemployment rate,Estimate,Seasonally adjusted
2007-05,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,52.9,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,52900,2007-05-01,Unemployment,Estimate,Seasonally adjusted
2007-05,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.3,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.043,2007-05-01,Unemployment rate,Estimate,Seasonally adjusted
2007-06,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,50.3,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,50300,2007-06-01,Unemployment,Estimate,Seasonally adjusted
2007-06,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.1,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.040999999999999995,2007-06-01,Unemployment rate,Estimate,Seasonally adjusted
2007-07,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,49.1,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,49100,2007-07-01,Unemployment,Estimate,Seasonally adjusted
2007-07,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.04,2007-07-01,Unemployment rate,Estimate,Seasonally adjusted
2007-08,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,46.2,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,46200,2007-08-01,Unemployment,Estimate,Seasonally adjusted
2007-08,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,3.8,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.038,2007-08-01,Unemployment rate,Estimate,Seasonally adjusted
2007-09,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,55.6,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,55600,2007-09-01,Unemployment,Estimate,Seasonally adjusted
2007-09,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.5,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.045,2007-09-01,Unemployment rate,Estimate,Seasonally adjusted
2007-10,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,55.8,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,55800,2007-10-01,Unemployment,Estimate,Seasonally adjusted
2007-10,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.5,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.045,2007-10-01,Unemployment rate,Estimate,Seasonally adjusted
2007-11,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,50.5,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,50500,2007-11-01,Unemployment,Estimate,Seasonally adjusted
2007-11,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.04,2007-11-01,Unemployment rate,Estimate,Seasonally adjusted
2007-12,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,46.9,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,46900,2007-12-01,Unemployment,Estimate,Seasonally adjusted
2007-12,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,3.8,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.038,2007-12-01,Unemployment rate,Estimate,Seasonally adjusted
2008-01,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,46.6,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,46600,2008-01-01,Unemployment,Estimate,Seasonally adjusted
2008-01,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,3.7,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.037000000000000005,2008-01-01,Unemployment rate,Estimate,Seasonally adjusted
2008-02,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,47.6,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,47600,2008-02-01,Unemployment,Estimate,Seasonally adjusted
2008-02,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,3.8,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.038,2008-02-01,Unemployment rate,Estimate,Seasonally adjusted
2008-03,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,52.1,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,52100,2008-03-01,Unemployment,Estimate,Seasonally adjusted
2008-03,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.2,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.042,2008-03-01,Unemployment rate,Estimate,Seasonally adjusted
2008-04,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,53.1,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,53100,2008-04-01,Unemployment,Estimate,Seasonally adjusted
2008-04,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.3,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.043,2008-04-01,Unemployment rate,Estimate,Seasonally adjusted
2008-05,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,53,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,53000,2008-05-01,Unemployment,Estimate,Seasonally adjusted
2008-05,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.3,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.043,2008-05-01,Unemployment rate,Estimate,Seasonally adjusted
2008-06,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,52.3,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,52300,2008-06-01,Unemployment,Estimate,Seasonally adjusted
2008-06,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.2,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.042,2008-06-01,Unemployment rate,Estimate,Seasonally adjusted
2008-07,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,54,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,54000,2008-07-01,Unemployment,Estimate,Seasonally adjusted
2008-07,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.3,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.043,2008-07-01,Unemployment rate,Estimate,Seasonally adjusted
2008-08,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,48.6,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,48600,2008-08-01,Unemployment,Estimate,Seasonally adjusted
